x,y,ap1,ap2,ap3,ap4,ap5,ap6,ap7,ap8,ap9,ap10,ap11,ap12,ap13,ap14,ap15,ap16,ap17,ap18,ap19,ap20
0,0,-52,-46,-24,-45,-55,-76,-34,-44,-58,-73,-47,-61,-63,-67,-42,-60,-46,-64,-62,-77
0,0,-52,-46,-24,-45,-55,-76,-34,-44,-58,-73,-47,-61,-63,-67,-42,-60,-46,-64,-62,-77
0,0,-46,-45,-33,-33,-54,-74,-33,-45,-58,-71,-49,-61,-63,-78,-43,-61,-47,-64,-62,-77
0,0,-46,-45,-33,-33,-54,-74,-33,-45,-58,-71,-49,-61,-63,-78,-43,-61,-47,-64,-62,-77
0,0,-47,-46,-45,-32,-54,-73,-37,-43,-53,-71,-47,-61,-64,-78,-42,-63,-45,-65,-63,-79
0,0,-47,-46,-35,-32,-54,-73,-37,-43,-54,-70,-46,-61,-65,-80,-42,-61,-48,-65,-65,-78
0,0,-47,-46,-35,-32,-54,-73,-37,-43,-54,-70,-46,-61,-65,-80,-42,-61,-48,-65,-65,-78
0,0,-47,-46,-35,-31,-54,-72,-39,-43,-55,-70,-46,-60,-64,-78,-43,-62,-45,-64,-69,-79
0,0,-47,-47,-35,-31,-55,-71,-40,-43,-55,-71,-46,-59,-64,-79,-48,-62,-45,-64,-65,-80
0,0,-48,-46,-32,-33,-56,-73,-40,-43,-56,-71,-45,-60,-64,-80,-44,-62,-45,-65,-70,-79
0,1,-48,-52,-32,-27,-55,-72,-41,-44,-54,-70,-48,-63,-65,-79,-42,-59,-44,-59,-66,-78
0,1,-48,-52,-32,-27,-55,-72,-41,-44,-54,-70,-48,-63,-65,-79,-42,-59,-44,-59,-66,-78
0,1,-48,-59,-32,-36,-64,-74,-41,-46,-57,-74,-62,-67,-62,-86,-53,-63,-60,-65,-63,-81
0,1,-48,-59,-32,-36,-64,-74,-41,-46,-57,-74,-62,-67,-62,-86,-53,-63,-60,-65,-63,-81
0,1,-51,-53,-32,-31,-60,-77,-43,-49,-57,-75,-50,-67,-62,-87,-58,-64,-60,-67,-66,-82
0,1,-51,-57,-31,-34,-62,-79,-42,-49,-60,-77,-55,-71,-68,-86,-52,-63,-57,-66,-66,-82
0,1,-51,-57,-31,-34,-62,-79,-42,-49,-60,-77,-55,-71,-68,-86,-52,-63,-57,-66,-66,-82
0,1,-52,-54,-31,-34,-61,-77,-46,-51,-63,-78,-55,-71,-70,-86,-54,-64,-56,-63,-67,-84
0,1,-52,-58,-31,-35,-61,-76,-45,-49,-61,-80,-55,-66,-67,-83,-55,-68,-53,-70,-68,-82
0,1,-52,-57,-29,-34,-64,-77,-44,-48,-62,-77,-50,-65,-67,-82,-52,-66,-55,-72,-68,-82
0,2,-53,-61,-22,-38,-64,-75,-40,-50,-61,-79,-52,-67,-67,-82,-55,-68,-55,-61,-66,-83
0,2,-58,-60,-28,-37,-64,-75,-42,-50,-63,-82,-52,-68,-66,-82,-52,-68,-57,-62,-66,-83
0,2,-58,-60,-28,-37,-64,-75,-42,-50,-63,-82,-52,-68,-66,-82,-52,-68,-57,-62,-66,-83
0,2,-58,-59,-35,-37,-64,-75,-42,-51,-63,-80,-53,-69,-68,-83,-52,-67,-54,-64,-67,-84
0,2,-58,-59,-35,-37,-64,-75,-42,-51,-63,-80,-53,-69,-68,-83,-52,-67,-54,-64,-67,-84
0,2,-52,-59,-32,-37,-64,-75,-45,-49,-62,-79,-54,-67,-66,-83,-51,-66,-56,-64,-67,-85
0,2,-52,-59,-32,-37,-64,-75,-45,-49,-62,-79,-54,-67,-66,-83,-51,-66,-56,-64,-67,-85
0,2,-54,-60,-32,-37,-64,-75,-48,-50,-62,-80,-53,-67,-66,-82,-52,-66,-56,-63,-67,-86
0,2,-52,-60,-30,-36,-64,-76,-45,-50,-62,-79,-54,-68,-65,-83,-51,-67,-56,-62,-68,-86
0,2,-52,-60,-30,-36,-64,-76,-45,-50,-62,-79,-54,-68,-65,-83,-51,-67,-56,-62,-68,-86
0,3,-56,-60,-28,-35,-62,-76,-47,-48,-63,-77,-60,-67,-63,-84,-53,-68,-57,-65,-65,-86
0,3,-56,-60,-28,-35,-62,-76,-47,-48,-63,-77,-60,-67,-63,-84,-53,-68,-57,-65,-65,-86
0,3,-39,-55,-28,-35,-62,-81,-36,-52,-70,-80,-60,-69,-65,-85,-53,-63,-52,-68,-63,-86
0,3,-39,-55,-28,-35,-62,-81,-36,-52,-70,-80,-60,-69,-65,-85,-53,-63,-52,-68,-63,-86
0,3,-56,-58,-26,-37,-63,-79,-49,-53,-64,-80,-54,-71,-65,-85,-50,-64,-54,-70,-63,-84
0,3,-56,-58,-26,-37,-63,-79,-49,-53,-64,-80,-54,-71,-65,-85,-50,-64,-54,-70,-63,-84
0,3,-52,-56,-26,-36,-63,-81,-45,-53,-63,-79,-53,-71,-71,-85,-50,-63,-57,-70,-63,-85
0,3,-52,-56,-26,-36,-63,-81,-45,-53,-63,-79,-53,-71,-71,-85,-50,-63,-57,-70,-63,-85
0,3,-56,-59,-24,-35,-63,-81,-43,-54,-63,-79,-53,-69,-71,-85,-49,-64,-57,-69,-71,-86
0,3,-56,-59,-24,-35,-63,-81,-43,-54,-63,-79,-53,-69,-71,-85,-49,-64,-57,-69,-71,-86
0,4,-41,-52,-29,-34,-64,-82,-34,-48,-59,-73,-55,-69,-71,-86,-52,-61,-54,-70,-71,-84
0,4,-41,-52,-29,-34,-64,-82,-34,-48,-59,-73,-55,-69,-71,-86,-52,-61,-54,-70,-71,-84
0,4,-41,-52,-32,-33,-65,-79,-37,-49,-59,-78,-58,-72,-71,-83,-52,-63,-54,-68,-71,-83
0,4,-40,-48,-29,-33,-62,-76,-41,-52,-60,-77,-58,-66,-68,-82,-52,-64,-53,-66,-71,-85
0,4,-40,-48,-29,-33,-62,-76,-41,-52,-60,-77,-58,-66,-68,-82,-52,-64,-53,-66,-71,-85
0,4,-40,-50,-30,-38,-65,-79,-41,-55,-55,-77,-60,-67,-68,-82,-57,-64,-57,-66,-71,-84
0,4,-40,-50,-30,-38,-65,-79,-41,-55,-55,-77,-60,-67,-68,-82,-57,-64,-57,-66,-71,-84
0,4,-41,-52,-28,-32,-64,-79,-41,-53,-56,-75,-60,-73,-68,-84,-56,-66,-54,-66,-71,-85
0,4,-41,-52,-28,-32,-64,-79,-41,-53,-56,-75,-60,-73,-68,-84,-56,-66,-54,-66,-71,-85
0,4,-41,-51,-31,-43,-64,-80,-40,-55,-54,-76,-61,-71,-67,-83,-55,-68,-62,-65,-71,-85
0,5,-43,-54,-30,-47,-53,-70,-47,-58,-55,-75,-59,-72,-64,-79,-59,-68,-50,-64,-62,-79
0,5,-43,-54,-30,-47,-53,-70,-47,-58,-55,-75,-59,-72,-64,-79,-59,-68,-50,-64,-62,-79
0,5,-37,-49,-40,-42,-54,-68,-43,-54,-55,-70,-57,-73,-58,-74,-57,-67,-47,-62,-67,-77
0,5,-40,-49,-40,-47,-58,-67,-45,-57,-59,-67,-55,-67,-63,-75,-52,-66,-49,-63,-61,-80
0,5,-40,-49,-40,-47,-58,-67,-45,-57,-59,-67,-55,-67,-63,-75,-52,-66,-49,-63,-61,-80
0,5,-40,-51,-41,-43,-50,-68,-45,-56,-53,-67,-58,-67,-58,-76,-60,-70,-48,-61,-58,-78
0,5,-40,-51,-41,-43,-50,-68,-45,-56,-53,-67,-58,-67,-58,-76,-60,-70,-48,-61,-58,-78
0,5,-40,-54,-35,-45,-55,-67,-44,-61,-53,-68,-56,-66,-57,-74,-59,-68,-47,-61,-59,-80
0,5,-40,-54,-35,-45,-55,-67,-44,-61,-53,-68,-56,-66,-57,-74,-59,-68,-47,-61,-59,-80
0,5,-35,-52,-33,-40,-56,-71,-44,-57,-52,-68,-54,-68,-57,-74,-53,-70,-51,-62,-59,-78
0,6,-34,-50,-40,-47,-60,-72,-55,-64,-60,-74,-69,-73,-67,-78,-61,-74,-53,-63,-72,-81
0,6,-34,-50,-40,-47,-60,-72,-55,-64,-60,-74,-69,-73,-67,-78,-61,-74,-53,-63,-72,-81
0,6,-30,-47,-39,-52,-57,-73,-55,-63,-61,-76,-69,-73,-64,-79,-66,-74,-47,-65,-72,-83
0,6,-32,-51,-34,-52,-57,-75,-49,-64,-66,-71,-62,-75,-64,-81,-61,-76,-58,-62,-69,-82
0,6,-32,-53,-34,-55,-58,-72,-50,-62,-61,-72,-62,-78,-64,-78,-61,-74,-55,-62,-69,-81
0,6,-32,-53,-34,-55,-58,-72,-50,-62,-61,-72,-62,-78,-64,-78,-61,-74,-55,-62,-69,-81
0,6,-32,-46,-34,-49,-69,-76,-44,-64,-60,-75,-64,-74,-64,-80,-61,-80,-60,-65,-69,-83
0,6,-36,-46,-32,-52,-69,-75,-52,-64,-60,-73,-64,-74,-65,-78,-62,-77,-60,-64,-67,-82
0,6,-32,-48,-35,-53,-64,-75,-46,-64,-60,-71,-59,-75,-63,-79,-62,-77,-52,-65,-69,-83
0,6,-30,-51,-34,-53,-62,-74,-45,-62,-60,-74,-59,-75,-64,-80,-65,-75,-53,-64,-70,-83
0,7,-35,-46,-44,-50,-56,-74,-46,-58,-52,-70,-62,-68,-61,-75,-58,-69,-48,-57,-64,-71
0,7,-35,-46,-44,-50,-56,-74,-46,-58,-52,-70,-62,-68,-61,-75,-58,-69,-48,-57,-64,-71
0,7,-41,-45,-44,-49,-57,-71,-49,-62,-52,-75,-55,-66,-65,-75,-55,-66,-48,-62,-59,-75
0,7,-41,-45,-44,-49,-57,-71,-49,-62,-52,-75,-55,-66,-65,-75,-55,-66,-48,-62,-59,-75
0,7,-41,-47,-41,-48,-57,-72,-49,-57,-56,-68,-54,-68,-65,-79,-57,-73,-52,-60,-59,-83
0,7,-41,-47,-41,-48,-57,-72,-49,-57,-56,-68,-54,-68,-65,-79,-57,-73,-52,-60,-59,-83
0,7,-36,-44,-41,-49,-56,-69,-49,-60,-55,-69,-56,-68,-60,-78,-59,-68,-58,-59,-59,-81
0,7,-36,-44,-41,-49,-56,-69,-49,-60,-55,-69,-56,-68,-60,-78,-59,-68,-58,-59,-59,-81
0,7,-41,-53,-48,-51,-55,-73,-54,-61,-62,-70,-52,-69,-58,-78,-54,-68,-55,-65,-61,-79
0,7,-41,-53,-48,-51,-55,-73,-54,-61,-62,-70,-52,-69,-58,-78,-54,-68,-55,-65,-61,-79
0,8,-64,-37,-42,-53,-57,-67,-60,-69,-52,-69,-71,-79,-47,-79,-62,-78,-52,-52,-40,-86
0,8,-64,-37,-42,-53,-57,-67,-60,-69,-52,-69,-71,-79,-47,-79,-62,-78,-52,-52,-40,-86
0,8,-64,-37,-42,-53,-57,-67,-60,-69,-52,-69,-71,-79,-47,-79,-62,-78,-52,-52,-40,-86
0,8,-64,-37,-42,-53,-57,-67,-60,-69,-52,-69,-71,-79,-47,-79,-62,-78,-52,-52,-40,-86
0,8,-36,-44,-45,-54,-57,-71,-52,-67,-54,-71,-58,-79,-64,-81,-60,-77,-52,-57,-40,-86
0,8,-36,-44,-45,-54,-57,-71,-52,-67,-54,-71,-58,-79,-64,-81,-60,-77,-52,-57,-40,-86
0,8,-41,-45,-44,-58,-57,-72,-52,-69,-54,-72,-58,-80,-62,-81,-58,-78,-54,-56,-40,-86
0,8,-41,-45,-44,-58,-57,-72,-52,-69,-54,-72,-58,-80,-62,-81,-58,-78,-54,-56,-40,-86
0,8,-37,-44,-44,-54,-58,-75,-49,-68,-53,-73,-59,-81,-62,-80,-60,-78,-52,-55,-40,-86
0,8,-37,-44,-44,-56,-58,-71,-49,-67,-54,-72,-59,-80,-62,-80,-60,-78,-52,-56,-40,-86
0,9,-20,-34,-44,-48,-58,-63,-53,-66,-50,-62,-57,-78,-52,-70,-64,-76,-44,-48,-65,-86
0,9,-20,-34,-44,-48,-58,-63,-53,-66,-50,-62,-57,-78,-52,-70,-64,-76,-44,-48,-65,-86
0,9,-20,-36,-44,-49,-57,-59,-52,-64,-47,-57,-64,-76,-52,-66,-64,-75,-39,-46,-65,-86
0,9,-20,-36,-44,-49,-57,-59,-52,-64,-47,-57,-64,-76,-52,-66,-64,-75,-39,-46,-65,-86
0,9,-24,-35,-42,-50,-51,-56,-51,-65,-45,-55,-62,-77,-64,-68,-61,-72,-41,-45,-65,-86
0,9,-24,-35,-42,-50,-51,-56,-51,-65,-45,-55,-62,-77,-64,-68,-61,-72,-41,-45,-65,-86
0,9,-24,-35,-42,-50,-51,-56,-51,-65,-45,-55,-62,-77,-64,-68,-61,-72,-41,-45,-65,-86
0,9,-32,-35,-43,-51,-47,-66,-52,-68,-56,-64,-61,-82,-64,-70,-61,-73,-43,-57,-65,-86
0,9,-33,-35,-44,-52,-52,-65,-53,-67,-54,-66,-62,-80,-58,-70,-61,-74,-43,-56,-65,-86
0,9,-33,-35,-44,-52,-52,-65,-53,-67,-54,-66,-62,-80,-58,-70,-61,-74,-43,-56,-65,-86
0,10,-27,-39,-45,-55,-51,-61,-52,-65,-48,-61,-62,-81,-64,-70,-61,-78,-42,-50,-72,-87
0,10,-27,-35,-46,-52,-50,-61,-52,-65,-47,-65,-64,-77,-64,-71,-61,-76,-52,-51,-72,-87
0,10,-27,-36,-45,-52,-50,-61,-52,-66,-50,-64,-64,-78,-64,-71,-61,-75,-44,-52,-72,-87
0,10,-27,-36,-45,-52,-50,-61,-52,-66,-50,-64,-64,-78,-64,-71,-61,-75,-44,-52,-72,-87
0,10,-21,-37,-46,-50,-49,-64,-54,-69,-48,-66,-67,-78,-57,-67,-63,-75,-43,-53,-72,-87
