x,y,ap1,ap2,ap3,ap4,ap5,ap6,ap7,ap8,ap9,ap10,ap11,ap12,ap13,ap14,ap15,ap16,ap17,ap18,ap19,ap20
0,4,-48,-56,-31,-43,-67,-82,-45,-52,-68,-84,-62,-72,-72,-87,-55,-66,-61,-70,-77,-86
0,4,-48,-52,-31,-36,-64,-78,-52,-52,-68,-81,-61,-73,-72,-87,-58,-68,-62,-69,-77,-87
0,5,-51,-50,-37,-46,-58,-68,-42,-54,-51,-67,-62,-69,-56,-76,-58,-69,-48,-63,-61,-77
0,5,-51,-50,-37,-46,-58,-68,-42,-54,-51,-67,-62,-69,-56,-76,-58,-69,-48,-63,-61,-77
0,5,-48,-50,-39,-37,-59,-68,-50,-54,-50,-68,-62,-69,-56,-76,-60,-70,-47,-63,-62,-78
0,5,-48,-50,-39,-37,-59,-68,-50,-54,-50,-68,-62,-69,-56,-76,-60,-70,-47,-63,-62,-78
0,5,-51,-51,-39,-36,-59,-69,-49,-57,-51,-71,-61,-72,-59,-78,-60,-70,-52,-63,-60,-77
0,5,-51,-51,-39,-36,-59,-69,-49,-57,-51,-71,-61,-72,-59,-78,-60,-70,-52,-63,-60,-77
0,5,-43,-47,-37,-37,-55,-67,-47,-54,-51,-70,-61,-69,-62,-76,-56,-69,-48,-63,-59,-78
0,5,-38,-49,-37,-39,-59,-69,-47,-56,-50,-71,-60,-70,-56,-76,-63,-72,-52,-62,-59,-77
0,5,-40,-49,-42,-38,-59,-68,-47,-56,-50,-72,-63,-69,-56,-76,-62,-71,-52,-61,-60,-77
0,5,-44,-49,-36,-38,-58,-68,-47,-55,-48,-70,-62,-70,-55,-77,-62,-70,-52,-62,-62,-76
0,6,-34,-39,-39,-46,-57,-62,-47,-61,-51,-66,-60,-69,-55,-71,-41,-67,-44,-54,-65,-73
0,6,-42,-48,-48,-51,-57,-67,-49,-61,-58,-66,-60,-69,-63,-74,-59,-67,-51,-59,-63,-80
0,6,-38,-49,-42,-52,-57,-66,-49,-57,-61,-67,-58,-70,-62,-73,-60,-69,-47,-58,-64,-75
0,6,-38,-46,-43,-51,-59,-64,-48,-56,-60,-69,-59,-65,-61,-74,-59,-69,-49,-56,-63,-77
0,6,-39,-44,-43,-51,-57,-65,-51,-53,-57,-67,-59,-68,-65,-73,-61,-71,-49,-58,-68,-75
0,6,-39,-44,-43,-51,-57,-65,-51,-53,-57,-67,-59,-68,-65,-73,-61,-71,-49,-58,-68,-75
0,6,-38,-43,-41,-49,-60,-66,-50,-56,-62,-67,-57,-68,-61,-73,-60,-69,-50,-56,-63,-75
0,6,-38,-42,-41,-50,-57,-66,-50,-53,-56,-69,-56,-66,-61,-73,-61,-71,-47,-59,-63,-74
0,6,-37,-41,-45,-50,-56,-68,-47,-53,-58,-68,-57,-67,-60,-74,-60,-71,-47,-61,-63,-74
0,6,-37,-41,-39,-49,-51,-69,-49,-53,-59,-68,-55,-66,-61,-74,-61,-73,-48,-61,-64,-74
0,7,-36,-45,-44,-51,-55,-63,-50,-58,-61,-71,-58,-67,-62,-74,-59,-70,-51,-55,-66,-77
0,7,-33,-46,-48,-56,-58,-69,-47,-58,-58,-72,-56,-67,-58,-77,-58,-68,-57,-65,-61,-78
0,7,-38,-44,-48,-57,-63,-70,-52,-58,-58,-70,-59,-68,-61,-80,-60,-68,-57,-63,-61,-83
0,7,-35,-53,-50,-58,-62,-70,-52,-59,-60,-70,-57,-69,-61,-79,-59,-68,-51,-60,-63,-82
0,7,-39,-45,-47,-57,-62,-69,-55,-57,-56,-75,-59,-69,-63,-77,-57,-67,-55,-62,-61,-78
0,7,-34,-45,-45,-54,-61,-70,-53,-57,-57,-74,-60,-69,-60,-78,-57,-66,-50,-63,-62,-78
0,7,-34,-50,-47,-58,-58,-69,-54,-58,-55,-69,-59,-67,-59,-78,-59,-68,-53,-67,-62,-83
0,7,-33,-48,-46,-56,-59,-68,-52,-58,-59,-70,-58,-68,-60,-78,-59,-67,-52,-68,-62,-82
0,7,-32,-46,-45,-56,-59,-68,-52,-60,-57,-70,-58,-68,-62,-78,-59,-68,-52,-66,-62,-84
0,7,-32,-46,-47,-56,-60,-68,-52,-59,-59,-70,-58,-67,-61,-77,-59,-68,-52,-66,-62,-83
0,8,-38,-44,-37,-46,-53,-57,-49,-60,-45,-53,-54,-72,-51,-60,-62,-71,-39,-47,-67,-78
0,8,-36,-38,-42,-46,-55,-58,-50,-58,-45,-53,-54,-73,-55,-61,-63,-70,-39,-47,-70,-80
0,8,-36,-38,-42,-46,-55,-58,-50,-58,-45,-53,-54,-73,-55,-61,-63,-70,-39,-47,-70,-80
0,8,-36,-38,-45,-47,-52,-59,-50,-59,-48,-59,-56,-76,-55,-62,-64,-70,-45,-46,-70,-79
0,8,-36,-38,-45,-47,-52,-59,-50,-59,-48,-59,-56,-76,-55,-62,-64,-70,-45,-46,-70,-79
0,8,-46,-40,-46,-52,-51,-59,-54,-58,-44,-56,-54,-73,-60,-63,-59,-71,-40,-47,-70,-81
0,8,-46,-39,-50,-50,-52,-60,-50,-59,-44,-56,-57,-73,-60,-63,-62,-71,-42,-47,-70,-80
0,8,-33,-38,-40,-53,-51,-64,-49,-57,-41,-55,-57,-70,-55,-62,-60,-71,-40,-45,-70,-81
0,8,-33,-38,-40,-53,-51,-64,-49,-57,-41,-55,-57,-70,-55,-62,-60,-71,-40,-45,-70,-81
0,8,-34,-41,-46,-49,-50,-64,-53,-57,-44,-56,-55,-74,-53,-64,-59,-69,-44,-47,-68,-81
0,9,-37,-35,-44,-46,-48,-58,-52,-64,-51,-49,-59,-77,-51,-65,-61,-71,-39,-44,-66,-84
0,9,-37,-35,-44,-46,-48,-58,-52,-64,-51,-49,-59,-77,-51,-65,-61,-71,-39,-44,-66,-84
0,9,-23,-42,-44,-53,-49,-57,-53,-67,-49,-61,-62,-76,-51,-68,-69,-73,-44,-48,-66,-83
0,9,-23,-42,-44,-53,-49,-57,-53,-67,-49,-61,-62,-76,-51,-68,-69,-73,-44,-48,-66,-83
0,9,-23,-40,-43,-52,-46,-59,-53,-67,-41,-62,-62,-81,-51,-67,-62,-73,-41,-48,-66,-84
0,9,-26,-39,-47,-53,-48,-58,-55,-67,-53,-61,-64,-79,-55,-67,-62,-74,-41,-48,-66,-82
0,9,-25,-41,-47,-54,-48,-59,-55,-66,-52,-61,-64,-79,-54,-65,-61,-74,-41,-46,-66,-83
0,9,-24,-39,-48,-56,-53,-60,-55,-66,-53,-63,-64,-75,-54,-67,-61,-73,-43,-47,-66,-84
0,9,-26,-39,-44,-56,-54,-58,-56,-67,-53,-62,-62,-76,-54,-68,-61,-74,-41,-47,-66,-84
0,9,-25,-38,-44,-56,-56,-60,-55,-66,-52,-62,-62,-75,-56,-66,-62,-73,-41,-48,-66,-84
0,10,-32,-38,-49,-51,-56,-61,-56,-64,-44,-64,-68,-77,-54,-69,-57,-77,-45,-49,-82,-86
0,10,-33,-39,-48,-51,-56,-61,-53,-63,-42,-62,-70,-77,-55,-68,-54,-76,-43,-48,-82,-85
0,10,-33,-41,-48,-50,-52,-62,-54,-64,-41,-63,-68,-77,-54,-68,-55,-76,-43,-48,-82,-85
0,10,-33,-44,-49,-52,-52,-63,-54,-64,-44,-63,-68,-77,-54,-68,-55,-76,-42,-49,-82,-85
0,10,-33,-45,-49,-52,-52,-62,-59,-64,-45,-63,-67,-77,-55,-68,-58,-77,-42,-48,-82,-86
0,10,-32,-42,-48,-52,-52,-60,-53,-69,-47,-63,-64,-77,-52,-67,-58,-77,-48,-50,-72,-84
0,10,-34,-42,-48,-52,-50,-56,-54,-64,-47,-61,-65,-77,-54,-67,-55,-77,-47,-49,-72,-86
0,10,-32,-41,-48,-53,-50,-59,-55,-64,-45,-61,-65,-77,-56,-67,-55,-76,-44,-49,-72,-86
0,10,-32,-41,-42,-54,-50,-59,-55,-67,-49,-62,-65,-77,-55,-68,-59,-76,-48,-52,-72,-86
0,10,-32,-42,-48,-52,-50,-60,-56,-68,-50,-62,-65,-77,-53,-68,-58,-76,-47,-51,-72,-86
0,11,-32,-42,-46,-51,-49,-60,-55,-67,-48,-62,-64,-77,-54,-67,-57,-76,-47,-49,-72,-86
0,11,-25,-39,-48,-53,-47,-59,-48,-62,-49,-57,-58,-77,-53,-65,-68,-71,-35,-57,-71,-84
0,11,-37,-44,-48,-53,-49,-59,-52,-71,-43,-59,-66,-78,-55,-66,-68,-74,-40,-52,-71,-84
0,11,-37,-40,-50,-56,-45,-57,-50,-63,-44,-59,-64,-78,-56,-67,-66,-74,-38,-49,-71,-84
0,11,-29,-52,-49,-59,-50,-60,-51,-65,-49,-61,-64,-77,-59,-68,-66,-73,-45,-53,-68,-85
0,11,-30,-42,-49,-57,-48,-62,-50,-66,-49,-60,-64,-77,-62,-68,-66,-72,-45,-53,-68,-85
0,11,-30,-44,-48,-56,-50,-61,-50,-66,-49,-60,-58,-77,-62,-69,-62,-72,-40,-53,-68,-86
0,11,-31,-49,-50,-58,-49,-58,-53,-65,-50,-61,-60,-78,-60,-68,-62,-71,-40,-51,-69,-85
0,11,-31,-41,-53,-59,-53,-53,-50,-63,-47,-61,-60,-78,-63,-64,-62,-71,-41,-52,-69,-85
0,11,-31,-43,-49,-57,-53,-54,-51,-64,-54,-60,-60,-79,-62,-65,-65,-69,-43,-51,-69,-85
0,12,-31,-43,-48,-58,-50,-52,-51,-63,-46,-60,-57,-77,-61,-62,-64,-71,-41,-51,-69,-84
0,12,-38,-43,-49,-51,-47,-61,-50,-62,-51,-58,-57,-77,-49,-66,-58,-73,-29,-52,-69,-85
0,12,-38,-43,-49,-51,-47,-61,-50,-62,-51,-58,-57,-77,-49,-66,-58,-73,-29,-52,-69,-85
0,12,-35,-43,-47,-54,-47,-61,-50,-65,-46,-59,-57,-78,-53,-65,-66,-72,-34,-50,-69,-85
0,12,-38,-41,-47,-57,-47,-62,-48,-65,-46,-60,-64,-77,-51,-65,-66,-74,-34,-49,-69,-83
0,12,-39,-41,-48,-55,-47,-62,-49,-65,-46,-60,-64,-76,-50,-64,-61,-73,-34,-47,-69,-83
0,12,-39,-41,-45,-54,-47,-61,-47,-65,-45,-61,-64,-76,-51,-65,-61,-72,-34,-49,-69,-83
0,12,-41,-40,-48,-55,-47,-62,-49,-65,-46,-60,-62,-76,-52,-65,-60,-72,-34,-48,-69,-83
0,12,-41,-40,-48,-55,-47,-62,-49,-65,-46,-60,-62,-76,-52,-65,-60,-72,-34,-48,-69,-83
0,12,-41,-41,-48,-54,-46,-62,-48,-66,-45,-60,-63,-77,-52,-64,-60,-72,-33,-48,-69,-83
0,13,-39,-42,-46,-56,-47,-62,-51,-66,-45,-61,-63,-75,-51,-65,-60,-73,-34,-47,-69,-83
0,13,-39,-31,-49,-49,-47,-56,-51,-63,-54,-55,-59,-80,-51,-68,-63,-70,-42,-50,-69,-84
0,13,-19,-32,-54,-49,-49,-55,-51,-64,-54,-57,-58,-81,-56,-70,-63,-70,-41,-50,-69,-83
0,13,-18,-31,-54,-48,-49,-56,-51,-63,-54,-57,-58,-80,-56,-70,-62,-70,-41,-51,-69,-83
0,13,-18,-33,-53,-48,-52,-55,-49,-63,-52,-57,-60,-82,-55,-70,-65,-71,-40,-51,-70,-84
0,13,-17,-33,-53,-49,-58,-54,-51,-64,-53,-58,-59,-81,-54,-70,-64,-70,-42,-51,-70,-85
0,13,-17,-32,-54,-49,-49,-56,-52,-64,-53,-58,-58,-80,-54,-70,-64,-70,-41,-51,-70,-84
0,13,-17,-31,-53,-50,-49,-56,-52,-65,-53,-57,-58,-80,-53,-71,-64,-70,-41,-51,-70,-83
0,13,-18,-33,-53,-50,-50,-55,-52,-64,-53,-57,-59,-81,-52,-70,-66,-71,-40,-51,-70,-82
